su_id,xgb_prob
8481,0.004214213
8482,0.0028609652
65535,0.004188779
4,0.0029670943
5,0.0034373
6,0.0061877775
7,0.0056514535
8,0.0033322414
9,0.004308995
10,0.6177591
11,0.004748358
12,0.4508072
13,0.0029973425
14,0.0050943387
15,0.0038347235
16,0.004375545
17,0.005873744
18,0.0044903327
19,0.007286266
20,0.004603332
21,0.00688937
22,0.012620991
23,0.0037180614
24,0.00923201
25,0.01172708
26,0.016342275
27,0.016088134
28,0.002994575
29,0.006691767
30,0.011699138
31,0.009113177
32,0.0035005696
33,0.011567218
34,0.01405592
35,0.0028928637
36,0.004188037
37,0.0059881248
38,0.002617152
39,0.0052083945
40,0.004589631
41,0.009838776
42,0.002941457
43,0.005839687
44,0.0037411351
45,0.010917187
46,0.0038427173
47,0.0045452723
48,0.0017821157
49,0.0033825452
50,0.005728212
51,0.016114196
52,0.010082431
53,0.017085165
54,0.004020324
55,0.0026738858
56,0.006556421
57,0.009630442
58,0.009193616
59,0.0039095036
60,0.0045041316
61,0.0049155853
62,0.011007911
63,0.003117398
64,0.014379727
65,0.008007947
66,0.007725754
67,0.019237457
68,0.67142975
69,0.03652182
70,0.002531269
71,0.006637974
72,0.022908634
73,0.0125647895
74,0.0033292307
75,0.0048560463
76,0.01816122
77,0.0143693155
78,0.009510755
79,0.007443714
80,0.0038503804
81,0.0029084699
82,0.005560003
83,0.060684923
84,0.0047265925
85,0.003654707
86,0.012166365
87,0.009246195
88,0.007554077
89,0.018379662
90,0.0060453555
91,0.008639112
92,0.013461048
93,0.0034586934
94,0.0016722056
95,0.0066447183
96,0.100006066
97,0.008309811
98,0.004187518
99,0.013609175
100,0.0031308685
101,0.005384506
102,0.006343059
103,0.96193993
104,0.009907466
105,0.0108268
106,0.0070709693
107,0.021917121
108,0.005515992
109,0.9507707
110,0.011226243
111,0.003852649
112,0.0038638515
113,0.9900635
114,0.005185077
115,0.011247689
116,0.019712484
117,0.049731955
118,0.0054370854
119,0.95299935
120,0.9539397
121,0.006998839
122,0.0054386635
123,0.01223221
124,0.0034221085
125,0.98266184
126,0.7256035
127,0.8590887
128,0.0075906347
129,0.73650014
130,0.99119276
131,0.05529779
132,0.0063961498
133,0.024309892
134,0.03891258
135,0.0103858095
136,0.005144009
137,0.0069450876
138,0.0042873104
139,0.02389351
140,0.01214658
141,0.98398304
142,0.678167
143,0.017181111
144,0.38030222
145,0.3517061
146,0.004109094
147,0.01582448
148,0.0045293174
149,0.013099092
150,0.008606438
151,0.0020408574
152,0.0064807185
153,0.0072432724
154,0.0024734172
155,0.0043911105
156,0.01978984
157,0.5324165
158,0.0034324636
159,0.0012910542
160,0.010142972
161,0.015199524
162,0.0027057736
163,0.007318416
164,0.0039591175
165,0.023078226
166,0.383894
167,0.8066173
168,0.007060712
169,0.007548588
170,0.0014193131
171,0.0019508555
172,0.001703555
173,0.0018465575
174,0.029396398
175,0.0045092083
176,0.005221728
177,0.0033600847
178,0.0021317068
179,0.0023811916
180,0.0063377055
181,0.0022555788
182,0.006681923
183,0.2507793
184,0.003159875
185,0.15814312
186,0.0060510025
187,0.0059295595
188,0.0037392534
189,0.8091788
190,0.88589305
191,0.0021700354
192,0.008147897
193,0.005323313
194,0.0062743044
195,0.018318256
196,0.0053526713
197,0.006022865
198,0.045261066
199,0.00561648
200,0.0042149234
201,0.0042780847
202,0.0046391524
203,0.056993883
204,0.0011542675
205,0.0045588007
206,0.0111381505
207,0.0038576806
208,0.023064196
209,0.018608648
210,0.004146927
211,0.60543317
212,0.0026662962
213,0.81708395
214,0.014454147
215,0.003943116
216,0.98050356
217,0.0024371233
218,0.047995314
219,0.0072363736
220,0.0047806753
221,0.0026847238
222,0.9522923
223,0.0021762995
224,0.94684356
225,0.9182212
226,0.048969515
227,0.0056980075
228,0.0028037573
229,0.041151732
230,0.0023817883
231,0.7745577
232,0.0070333355
233,0.0028606944
234,0.014669843
235,0.037796896
236,0.14536883
237,0.945133
238,0.008976758
239,0.0025275864
240,0.9045084
241,0.00883705
242,0.008011486
243,0.0018567947
244,0.034925338
245,0.9282583
246,0.004407907
247,0.003174285
248,0.024003156
249,0.97605735
250,0.006408787
251,0.024886379
252,0.006177839
253,0.0048930314
254,0.012738182
255,0.0029496846
256,0.050786342
257,0.040297393
258,0.004183138
259,0.0030518773
260,0.0020768237
261,0.040895127
262,0.0080328155
263,0.32522085
264,0.7823408
265,0.0037934014
266,0.0029596612
267,0.0031977894
268,0.006353752
269,0.009624884
270,0.0029888474
271,0.76413494
272,0.86583644
273,0.0062258192
274,0.008207142
275,0.02049881
276,0.0109316185
277,0.012224601
278,0.035924666
279,0.023850761
280,0.0032181786
281,0.0017564285
282,0.002039707
283,0.6348049
284,0.009065702
285,0.98111063
286,0.98846555
287,0.0071928413
288,0.002060147
289,0.00286665
290,0.90150726
291,0.010598978
292,0.0042707175
293,0.006856289
294,0.9292471
295,0.0094612865
296,0.95101744
297,0.004772927
298,0.0013856475
299,0.9713345
300,0.002784903
301,0.0098303715
302,0.009298967
303,0.004546854
304,0.004566376
305,0.0072661475
306,0.0027871404
307,0.0076215994
308,0.6711202
309,0.010648522
310,0.0023840375
311,0.005475765
312,0.810455
313,0.8069941
314,0.0024312274
315,0.0035761662
316,0.014042221
317,0.007782933
318,0.003654177
319,0.002941881
320,0.0050963378
321,0.009577633
322,0.01908043
